tempo,y_centro,v_centro,erro_l2
0.000000000000000000e+00,1.000000000000000021e-02,0.000000000000000000e+00,1.218569110023239319e-19
4.000000000000000083e-03,1.000000000000000021e-02,-3.947517074146844910e-04,5.555310433721480253e-07
8.000000000000000167e-03,9.998420993170342025e-03,-7.895034148293689821e-04,1.111051120236394798e-06
1.200000000000000025e-02,9.995262979511023924e-03,-1.184192790679958283e-03,1.666297070070100444e-06
1.600000000000000033e-02,9.990526208348303461e-03,-1.578757503402243795e-03,2.221005763518652081e-06
2.000000000000000042e-02,9.984211178334694015e-03,-1.973135231273999944e-03,2.774914171648328918e-06
2.400000000000000050e-02,9.976318637409598705e-03,-2.367263672257649814e-03,3.327759435184611734e-06
2.800000000000000058e-02,9.966849582720567827e-03,-2.761080553840542830e-03,3.879278933721392537e-06
3.200000000000000067e-02,9.955805260505205811e-03,-3.154523642872845458e-03,4.429210354888220726e-06
3.600000000000000422e-02,9.943187165933713850e-03,-3.547530755400088963e-03,4.977291763452995396e-06
4.000000000000000083e-02,9.928997042912113269e-03,-3.940039766490030515e-03,5.523261670352858041e-06
4.399999999999999745e-02,9.913236883846153133e-03,-4.331988620051219728e-03,6.066859101637060328e-06
4.800000000000000100e-02,9.895908929365948917e-03,-4.723315338642691645e-03,6.607823667293574056e-06
5.200000000000000455e-02,9.877015668011378258e-03,-5.113958033272410046e-03,7.145895629972389353e-06
5.600000000000000117e-02,9.856559835878289308e-03,-5.503854913183544272e-03,7.680815973553010482e-06
5.999999999999999778e-02,9.834544416225554642e-03,-5.892944295627216070e-03,8.212326471574870370e-06
6.400000000000000133e-02,9.810972639043045312e-03,-6.281164615619558474e-03,8.740169755499192366e-06
6.800000000000000488e-02,9.785847980580566693e-03,-6.668454435681950461e-03,9.264089382779677498e-06
7.200000000000000844e-02,9.759174162837839367e-03,-7.054752455562719564e-03,9.783829904750868751e-06
7.599999999999999811e-02,9.730955153015589248e-03,-7.439997521937129210e-03,1.029913693429015594e-05
8.000000000000000167e-02,9.701195162927840621e-03,-7.824128638085766155e-03,1.080975721326938945e-05
8.400000000000000522e-02,9.669898648375497077e-03,-8.207084973549398990e-03,1.131543867974576373e-05
8.799999999999999489e-02,9.637070308481298850e-03,-8.588805873759156745e-03,1.181593053491432531e-05
9.199999999999999845e-02,9.602715084986262334e-03,-8.969230869641593024e-03,1.231098330977729743e-05
9.600000000000000200e-02,9.566838161507695490e-03,-9.348299687197823837e-03,1.280034893152830527e-05
1.000000000000000056e-01,9.529444962758903612e-03,-9.725952257056065184e-03,1.328378078964310581e-05
1.040000000000000091e-01,9.490541153730679136e-03,-1.010212872399370194e-02,1.376103380164538929e-05
1.079999999999999988e-01,9.450132638834703863e-03,-1.047676945642626867e-02,1.423186447854623562e-05
1.120000000000000023e-01,9.408225561008998900e-03,-1.084981505585619690e-02,1.469603098994292815e-05
1.160000000000000059e-01,9.364826300785574972e-03,-1.122120636628142105e-02,1.515329322874617910e-05
1.199999999999999956e-01,9.319941475320449656e-03,-1.159088448355907915e-02,1.560341287554751171e-05
1.239999999999999991e-01,9.273577937386213652e-03,-1.195879076473010949e-02,1.604615346259105933e-05
1.280000000000000027e-01,9.225742774327293574e-03,-1.232486683731280966e-02,1.648128043733986111e-05
1.320000000000000062e-01,9.176443306978043085e-03,-1.268905460857263148e-02,1.690856122563485505e-05
1.360000000000000098e-01,9.125687088543752573e-03,-1.305129627477242399e-02,1.732776529441313273e-05
1.400000000000000133e-01,9.073481903444662391e-03,-1.341153433039585056e-02,1.773866421398876081e-05
1.440000000000000169e-01,9.019835766123078524e-03,-1.376971157732213846e-02,1.814103171986926926e-05
1.479999999999999927e-01,8.964756919813790179e-03,-1.412577113391875853e-02,1.853464377410670173e-05
1.519999999999999962e-01,8.908253835278115429e-03,-1.447965644402131324e-02,1.891927862615007860e-05
1.559999999999999998e-01,8.850335209502029413e-03,-1.483131128579043105e-02,1.929471687321416022e-05
1.600000000000000033e-01,8.791009964358867737e-03,-1.518067978047565360e-02,1.966074152011741520e-05
1.640000000000000069e-01,8.730287245236965921e-03,-1.552770640116261404e-02,2.001713803860720857e-05
1.680000000000000104e-01,8.668176419632314667e-03,-1.587233598160457324e-02,2.036369442613734582e-05
1.720000000000000140e-01,8.604687075705896165e-03,-1.621451372522039400e-02,2.070020126409068500e-05
1.759999999999999898e-01,8.539829020805014478e-03,-1.655418521425246550e-02,2.102645177543964087e-05
1.799999999999999933e-01,8.473612279948004172e-03,-1.689129641894259598e-02,2.134224188182895829e-05
1.839999999999999969e-01,8.406047094272233941e-03,-1.722579370644631777e-02,2.164737026005123422e-05
1.880000000000000004e-01,8.337143919446449516e-03,-1.755762384915828325e-02,2.194163839793858997e-05
1.920000000000000040e-01,8.266913424049816828e-03,-1.788673403224401437e-02,2.222485064961789999e-05
1.960000000000000075e-01,8.195366487920839951e-03,-1.821307186050204890e-02,2.249681429014595169e-05
2.000000000000000111e-01,8.122514200478832269e-03,-1.853658536513671032e-02,2.275733956949586967e-05
2.040000000000000147e-01,8.048367859018286039e-03,-1.885722301139730259e-02,2.300623976589329301e-05
2.080000000000000182e-01,7.972938966972696953e-03,-1.917493370806220773e-02,2.324333123848137381e-05
2.119999999999999940e-01,7.896239232140448566e-03,-1.948966681916498855e-02,2.346843347930300958e-05
2.159999999999999976e-01,7.818280564863788057e-03,-1.980137217717310022e-02,2.368136916460446677e-05
2.200000000000000011e-01,7.739075076155095892e-03,-2.011000009538417219e-02,2.388196420542023916e-05
2.240000000000000047e-01,7.658635075773558877e-03,-2.041550137635805839e-02,2.407004779745318168e-05
2.280000000000000082e-01,7.576973070268126255e-03,-2.071782731363577476e-02,2.424545247022635511e-05
2.320000000000000118e-01,7.494101761013583288e-03,-2.101692968641998005e-02,2.440801413549464527e-05
2.360000000000000153e-01,7.410034042267902958e-03,-2.131276075102607123e-02,2.455757213491311430e-05
2.399999999999999911e-01,7.324782999263798611e-03,-2.160527323725363810e-02,2.469396928694217507e-05
2.439999999999999947e-01,7.238361906314784086e-03,-2.189442035979527468e-02,2.481705193298078333e-05
