tempo,y_centro,v_centro,erro_l2
0.000000000000000000e+00,1.000000000000000021e-02,0.000000000000000000e+00,1.218569110023239319e-19
4.000000000000000083e-03,9.999210506973764748e-03,-3.947413188207064827e-04,4.568853115971824094e-11
8.000000000000000167e-03,9.996842152555453220e-03,-7.894203085378043421e-04,1.827400803858952926e-10
1.200000000000000025e-02,9.992895310704923498e-03,-1.183974649889156343e-03,4.111113639503956087e-10
1.600000000000000033e-02,9.987370604623001594e-03,-1.578342043294545406e-03,7.307302541773924732e-10
2.000000000000000042e-02,9.980268906653070801e-03,-1.972460218692901994e-03,1.141495796613779353e-09
2.400000000000000050e-02,9.971591338143334649e-03,-2.366266945373979736e-03,1.643278233176723563e-09
2.800000000000000058e-02,9.961339269269755409e-03,-2.759700041805123079e-03,2.235919032721423687e-09
3.200000000000000067e-02,9.949514318819709796e-03,-3.152697385448770435e-03,2.919230930446625694e-09
3.600000000000000422e-02,9.936118353936380931e-03,-3.545196922572472868e-03,3.692997970049340724e-09
4.000000000000000083e-02,9.921153489823940352e-03,-3.937136678046917158e-03,4.556975554879415538e-09
4.399999999999999745e-02,9.904622089413556499e-03,-4.328454765131444990e-03,5.510890509771593284e-09
4.800000000000000100e-02,9.886526762990297326e-03,-4.719089395245779778e-03,6.554441138178877171e-09
5.200000000000000455e-02,9.866870367780966947e-03,-5.108978887726873044e-03,7.687297303718176940e-09
5.600000000000000117e-02,9.845656007502949156e-03,-5.498061679567779053e-03,8.909100498659348190e-09
5.999999999999999778e-02,9.822887031874144581e-03,-5.886276335138083265e-03,1.021946393401573576e-08
6.400000000000000133e-02,9.798567036084044821e-03,-6.273561555885275726e-03,1.161797263316768410e-08
6.800000000000000488e-02,9.772699860226065002e-03,-6.659856190013026603e-03,1.310418352387874884e-08
7.200000000000000844e-02,9.745289588691193744e-03,-7.045099242137534828e-03,1.467762555022143929e-08
7.599999999999999811e-02,9.716340549523073272e-03,-7.429229882918359819e-03,1.633779977714175993e-08
8.000000000000000167e-02,9.685857313734610313e-03,-7.812187458663175967e-03,1.808417951785619335e-08
8.400000000000000522e-02,9.653844694586216635e-03,-8.193911500904734260e-03,1.991621044837548631e-08
8.799999999999999489e-02,9.620307746825805875e-03,-8.574341735949210508e-03,2.183331074777712083e-08
